"","VM-thalamus","PH","DMH","VMH","ARH","ZI"
"VM-thalamus",0,0.174603174603175,0.147783251231527,0.19047619047619,0.0634920634920635,0.114285714285714
"PH",0.158730158730159,0,0.254789272030651,0.361111111111111,0.0987654320987654,0.25
"DMH",0.12807881773399,0.293103448275862,0,0.396551724137931,0.122605363984674,0.189655172413793
"VMH",0.19047619047619,0.388888888888889,0.431034482758621,0,0.203703703703704,0.316666666666667
"ARH",0.0317460317460317,0.141975308641975,0.130268199233716,0.203703703703704,0,0.1
"ZI",0.128571428571429,0.255555555555556,0.220689655172414,0.3,0.0666666666666667,0
