"","VM-thalamus","VMH","PVH","DMH","AH"
"VM-thalamus",0,0.395604395604396,0.153846153846154,0.519230769230769,0.208791208791209
"VMH",0.32967032967033,0,0.428571428571429,0.571428571428571,0.244897959183673
"PVH",0.282051282051282,0.333333333333333,0,0.5,0.285714285714286
"DMH",0.384615384615385,0.428571428571429,0.333333333333333,0,0.321428571428571
"AH",0.142857142857143,0.326530612244898,0.19047619047619,0.392857142857143,0
