"","VMH","DMH","VM-thalamus","PH"
"VMH",0,0.923809523809524,0.733333333333333,0.955555555555556
"DMH",0.695238095238095,0,0.657142857142857,0.752380952380952
"VM-thalamus",0.733333333333333,0.862857142857143,0,0.88
"PH",0.666666666666667,0.752380952380952,0.626666666666667,0
