"","VM-thalamus","PVH","AH","DMH"
"VM-thalamus",0,0.292517006802721,0,0.428571428571429
"PVH",0.258503401360544,0,0,0.26984126984127
"AH",0.285714285714286,0.238095238095238,0,0.666666666666667
"DMH",0.380952380952381,0.198412698412698,0.166666666666667,0
