"","PH","MC","PVH","ARH","DMH"
"PH",0,0.799145299145299,0.826923076923077,0.736263736263736,0.923076923076923
"MC",0.64957264957265,0,0.694444444444444,0.619047619047619,0.75
"PVH",0.0192307692307692,0.0138888888888889,0,0.0357142857142857,0
"ARH",0.483516483516484,0.5,0.5,0,0.535714285714286
"DMH",0.923076923076923,0.972222222222222,0.9375,0.821428571428571,0
