"","VM-thalamus","PH","DMH","PVH"
"VM-thalamus",0,0.141414141414141,0.0444444444444444,0
"PH",0.111111111111111,0,0.109090909090909,0
"DMH",0.0555555555555556,0.0454545454545455,0,0
"PVH",0,0,0,0
