"","PH","MC","PVH","ARH","DMH"
"PH",0,0.0555555555555556,0.0535714285714286,0.0306122448979592,0.0357142857142857
"MC",0.0277777777777778,0,0.0416666666666667,0.0873015873015873,0.0833333333333333
"PVH",0.0178571428571429,0.0694444444444444,0,0,0
"ARH",0.0408163265306122,0.0555555555555556,0.0714285714285714,0,0.0357142857142857
"DMH",0.0357142857142857,0.0555555555555556,0,0.0357142857142857,0
