"animal","condition","source","target","density"
"day4","lightON","VMH","DMH",0.0523809523809524
"day4","lightON","VMH","VM-thalamus",0
"day4","lightON","VMH","PH",0.0222222222222222
"day4","lightON","DMH","VMH",0.0523809523809524
"day4","lightON","DMH","VM-thalamus",0.0685714285714286
"day4","lightON","DMH","PH",0.0780952380952381
"day4","lightON","VM-thalamus","VMH",0
"day4","lightON","VM-thalamus","DMH",0.0914285714285714
"day4","lightON","VM-thalamus","PH",0.0666666666666667
"day4","lightON","PH","VMH",0.0555555555555556
"day4","lightON","PH","DMH",0.100952380952381
"day4","lightON","PH","VM-thalamus",0.0666666666666667
