"","DMH","PH","MC","PVH"
"DMH",0,0.28,0.192307692307692,0.263157894736842
"PH",0.16,0,0.0276923076923077,0.04
"MC",0.192307692307692,0.0292307692307692,0,0.0364372469635627
"PVH",0.421052631578947,0.0336842105263158,0.0323886639676113,0
