"","VMH","DMH","VM-thalamus","PH"
"VMH",0,0.333333333333333,0.333333333333333,0.277777777777778
"DMH",0.347619047619048,0,0.451428571428571,0.407619047619048
"VM-thalamus",0.3,0.411428571428571,0,0.266666666666667
"PH",0.3,0.415238095238095,0.4,0
