"","VM-thalamus","VMH","PVH","DMH","AH"
"VM-thalamus",0,0.703296703296703,0.717948717948718,0.692307692307692,0.659340659340659
"VMH",0.747252747252747,0,0.761904761904762,0.714285714285714,0.63265306122449
"PVH",0.923076923076923,1,0,1,0.80952380952381
"DMH",0.634615384615385,0.678571428571429,0.666666666666667,0,0.714285714285714
"AH",0.725274725274725,0.73469387755102,0.857142857142857,0.785714285714286,0
