"","VM-thalamus","PH","DMH","PVH"
"VM-thalamus",0,0.0707070707070707,0.0222222222222222,0.111111111111111
"PH",0.0505050505050505,0,0,0.454545454545455
"DMH",0.0333333333333333,0.0181818181818182,0,0
"PVH",0.222222222222222,0.272727272727273,0,0
