"","VM-thalamus","PH","DMH","VMH","ARH","ZI"
"VM-thalamus",0,0.452380952380952,0.477832512315271,0.523809523809524,0.380952380952381,0.471428571428571
"PH",0.492063492063492,0,0.626436781609195,0.75,0.401234567901235,0.661111111111111
"DMH",0.458128078817734,0.637931034482759,0,0.672413793103448,0.509578544061303,0.63448275862069
"VMH",0.571428571428571,0.712962962962963,0.672413793103448,0,0.537037037037037,0.7
"ARH",0.301587301587302,0.401234567901235,0.467432950191571,0.5,0,0.455555555555556
"ZI",0.457142857142857,0.633333333333333,0.662068965517241,0.733333333333333,0.477777777777778,0
