"","VM-thalamus","DMH","PVH","VMH"
"VM-thalamus",0,0.823529411764706,0.808641975308642,0.802469135802469
"DMH",0.727668845315904,0,0.754901960784314,0.705882352941177
"PVH",0.716049382716049,0.803921568627451,0,0.833333333333333
"VMH",0.950617283950617,1,1,0
