"","VM-thalamus","PVH","AH","DMH"
"VM-thalamus",0,0.0461538461538462,0.115384615384615,0.0192307692307692
"PVH",0.0846153846153846,0,0.1,0.05
"AH",0.0192307692307692,0.075,0,0
"DMH",0.0384615384615385,0.05,0.0625,0
