3,6,8,5,22,8,19,22,19,4,4,4,8,2,6,3,7,5,20,22,10,6,5,6,18,3,15,4,10,7,20,23,8,17,19,0,8,12,19,15,15,14,8,7,20,8,6,10,7,12,8,6,14,7,8,12,9,5,7,30,14,5,11,10,5,16,16,4,5,7,4,7,6,4,21,22,15,15,17,8,7,10,12,14,7,6,4,11,9,9,20,6,17,10,13,13,7,10,10,14,15,10,10,10,9,13,7,10,20,20,10,8,22,10,19,4,5,7,6,6,8,9,5,9,9,7
2,4,4,3,5,3,6,8,8,4,2,4,6,1,3,2,4,3,6,10,2,3,2,4,8,1,6,2,4,3,5,7,2,5,7,8,0,4,8,7,5,7,2,5,8,4,2,4,3,4,5,3,6,2,4,8,4,2,3,11,6,3,5,4,4,6,10,1,2,2,2,2,3,2,8,7,7,6,5,3,4,5,5,5,5,1,2,7,5,6,8,3,7,3,4,5,7,5,5,4,8,6,2,4,4,4,2,4,7,8,3,6,12,5,8,2,3,3,2,3,2,4,3,5,4,4
3,6,7,6,18,7,12,19,13,3,5,5,8,2,5,4,6,6,15,17,10,4,5,6,12,4,11,3,9,5,20,16,9,12,18,12,4,0,15,13,14,13,7,6,20,9,8,10,7,8,9,5,13,4,7,11,9,7,6,26,11,6,11,6,5,12,12,4,4,5,4,5,8,4,19,14,12,14,13,8,6,10,7,10,5,6,5,10,8,8,12,4,13,7,9,11,8,7,11,10,15,8,7,7,7,10,11,8,13,14,8,9,23,10,14,3,4,6,4,6,5,9,6,10,8,7
3,7,14,9,22,13,15,29,20,11,7,10,17,6,9,6,9,10,21,27,13,11,8,8,24,5,14,5,16,8,25,24,14,12,22,19,8,15,0,19,17,25,7,13,24,12,8,19,7,12,15,8,18,4,13,17,11,9,10,51,14,9,13,10,11,20,21,5,6,9,11,10,8,6,25,27,20,18,19,9,11,15,13,18,10,9,5,15,13,11,26,9,20,9,14,14,12,12,14,9,22,18,11,12,11,13,11,11,23,25,10,11,35,16,16,9,8,8,8,9,9,17,7,14,15,10
2,5,7,7,14,6,12,19,17,6,4,6,13,3,6,3,7,7,13,21,7,6,5,7,16,4,14,4,12,6,17,17,9,10,16,15,7,13,19,0,12,18,6,10,18,11,5,14,7,9,9,6,14,5,6,15,11,5,7,27,15,5,13,6,6,12,20,3,5,5,5,6,4,4,16,20,20,18,17,6,6,11,9,11,6,5,2,12,7,9,15,5,13,6,10,12,9,10,11,9,13,11,8,9,7,10,6,8,19,19,9,7,26,12,13,4,5,6,5,7,5,9,5,7,9,5
1,2,5,3,16,9,11,16,17,3,3,3,5,2,4,2,4,5,13,17,12,6,3,5,19,3,19,2,16,6,16,15,7,12,17,15,5,14,17,12,0,18,6,8,23,10,8,14,4,9,8,4,24,3,7,16,9,4,5,23,12,8,13,7,4,12,14,5,3,4,4,4,3,4,21,18,24,25,29,4,8,8,9,6,5,4,3,12,5,13,13,4,14,9,10,11,7,8,11,19,15,10,6,6,7,10,5,6,15,13,11,8,24,10,14,0,5,5,4,5,4,5,5,6,9,4
2,6,7,6,23,13,13,21,20,7,4,7,13,4,5,4,7,6,19,23,13,6,5,5,21,4,22,5,18,7,23,21,12,10,17,14,7,13,25,18,18,0,17,13,22,10,11,12,6,9,8,5,23,4,8,21,10,5,9,36,13,10,12,10,11,11,30,5,6,6,6,7,5,6,18,19,20,20,20,6,14,18,10,12,7,6,4,14,12,16,17,6,15,12,11,11,10,8,16,15,24,12,11,12,13,12,7,9,17,18,11,10,42,14,17,6,6,8,8,9,6,11,5,7,15,9
3,4,4,4,11,5,7,9,9,3,7,3,6,2,5,3,5,4,9,7,5,4,4,6,9,3,6,2,6,3,12,7,4,4,10,8,2,7,7,6,6,17,0,4,10,4,3,5,5,6,5,2,6,3,9,6,7,7,7,11,5,4,4,5,2,7,11,4,5,4,4,3,3,4,8,9,8,5,5,3,4,7,6,9,6,7,2,5,7,4,8,4,10,6,5,5,6,4,5,5,5,7,6,6,8,5,5,4,10,8,5,5,9,7,8,3,3,4,3,4,4,7,6,8,5,5
2,4,4,4,8,6,6,11,6,5,4,5,7,2,4,2,4,5,8,11,6,7,3,6,12,2,6,2,7,4,7,10,7,6,13,7,5,6,13,10,8,13,4,0,14,6,4,8,3,12,5,5,6,3,6,8,4,4,5,13,8,7,9,6,3,6,11,3,3,4,3,4,2,3,9,11,7,8,8,4,7,6,7,7,4,4,3,8,6,7,8,3,9,7,8,6,7,7,9,7,9,8,5,5,7,6,4,3,10,8,4,4,13,9,8,5,3,4,5,4,3,6,5,4,8,5
2,3,7,5,19,14,18,26,22,6,7,6,9,2,6,3,6,7,17,25,12,6,4,7,26,3,17,3,16,9,18,26,10,13,25,20,8,20,24,18,23,22,10,14,0,13,11,19,8,12,12,6,22,4,10,22,9,6,9,38,20,9,20,8,9,15,20,6,7,5,7,6,4,4,29,27,20,24,24,6,11,19,12,10,6,6,5,21,9,14,19,7,23,11,15,16,9,13,16,19,26,19,9,11,7,16,5,12,24,27,10,11,34,14,20,5,5,6,5,8,5,8,5,7,14,6
