"animal","condition","source","target","density"
"day3","ongoing","PH","MC",0.222222222222222
"day3","ongoing","PH","PVH",0.232142857142857
"day3","ongoing","PH","ARH",0.357142857142857
"day3","ongoing","PH","DMH",0.285714285714286
"day3","ongoing","MC","PH",0.25
"day3","ongoing","MC","PVH",0.194444444444444
"day3","ongoing","MC","ARH",0.357142857142857
"day3","ongoing","MC","DMH",0.319444444444444
"day3","ongoing","PVH","PH",0.25
"day3","ongoing","PVH","MC",0.305555555555556
"day3","ongoing","PVH","ARH",0.321428571428571
"day3","ongoing","PVH","DMH",0.4375
"day3","ongoing","ARH","PH",0.306122448979592
"day3","ongoing","ARH","MC",0.365079365079365
"day3","ongoing","ARH","PVH",0.357142857142857
"day3","ongoing","ARH","DMH",0.428571428571429
"day3","ongoing","DMH","PH",0.285714285714286
"day3","ongoing","DMH","MC",0.375
"day3","ongoing","DMH","PVH",0.375
"day3","ongoing","DMH","ARH",0.464285714285714
