"","VM-thalamus","PH","DMH","VMH","ARH","ZI"
"VM-thalamus",0,0.968253968253968,0.950738916256158,0.952380952380952,0.80952380952381,0.942857142857143
"PH",0.857142857142857,0,0.886973180076628,0.888888888888889,0.790123456790123,0.888888888888889
"DMH",0.83743842364532,0.873563218390805,0,0.896551724137931,0.793103448275862,0.920689655172414
"VMH",0.285714285714286,0.314814814814815,0.293103448275862,0,0.166666666666667,0.216666666666667
"ARH",0.587301587301587,0.641975308641975,0.613026819923372,0.574074074074074,0,0.555555555555556
"ZI",0.514285714285714,0.55,0.531034482758621,0.5,0.533333333333333,0
