"","VM-thalamus","DMH","PVH","VMH"
"VM-thalamus",0,0.222222222222222,0.264550264550265,0.135802469135802
"DMH",0.220043572984749,0,0.302521008403361,0.705882352941177
"PVH",0.153439153439153,0.168067226890756,0,0.142857142857143
"VMH",0.172839506172839,0.392156862745098,0.0952380952380952,0
