"","VMH","MC","DMH","PH"
"VMH",0,0.05,0.0526315789473684,0.0555555555555556
"MC",0.0666666666666667,0,0.133333333333333,0.125925925925926
"DMH",0.0657894736842105,0.12280701754386,0,0.134502923976608
"PH",0.0694444444444444,0.155555555555556,0.137426900584795,0
