"","DMH","PH","MC","PVH"
"DMH",0,1,1,1
"PH",1,0,0.967692307692308,0.989473684210526
"MC",0.923076923076923,0.924615384615385,0,0.951417004048583
"PVH",0.368421052631579,0.36,0.350202429149798,0
