"","VM-thalamus","PVH","AH","DMH"
"VM-thalamus",0,0.915384615384615,0.923076923076923,1
"PVH",0.892307692307692,0,0.9,0.9
"AH",0.846153846153846,0.8,0,0.75
"DMH",0.0769230769230769,0.075,0.125,0
