"","VMH","MC","DMH","PH"
"VMH",0,1,1,0.986111111111111
"MC",0.666666666666667,0,0.680701754385965,0.666666666666667
"DMH",0.684210526315789,0.592982456140351,0,0.649122807017544
"PH",0.930555555555556,0.97037037037037,0.976608187134503,0
