"","VMH","DMH","VM-thalamus","PH"
"VMH",0,0.0523809523809524,0,0.0555555555555556
"DMH",0.0523809523809524,0,0.0914285714285714,0.100952380952381
"VM-thalamus",0,0.0685714285714286,0,0.0666666666666667
"PH",0.0222222222222222,0.0780952380952381,0.0666666666666667,0
