0	4.493887	1.944234	3.568036	1.915524	1.055039	0.868147	1.784799	1.300157	0	1.865957	2.30766	3.596379	3.888213	4.030648	0	4.829795	2.13339	3.327559	3.9175	2.878611	4.06976	1.907034	2.25034	1.512298	2.495886	1.359517	1.464043	1.328829	1.843726	1.890353	5.644681	2.373178	2.669351	2.507153
4.293768	0	3.270389	4.234481	3.135127	1.837624	1.614117	2.670799	1.788179	0	2.627327	4.324246	4.967511	4.592099	5.897023	0	0	4.090844	4.441908	5.437214	4.170518	5.34922	2.577313	3.273299	2.294025	4.367166	2.371443	4.04625	1.992476	4.236692	2.036055	5.902796	3.843275	3.55077	3.117474
2.136646	3.310289	0	2.041012	1.394615	0.96259	0.611992	1.121015	1.078483	4.614112	1.340788	2.084763	2.768304	2.773955	3.35725	0	3.630506	1.519514	2.686761	3.541754	3.565266	2.778361	1.74234	1.351883	0.946213	1.410425	1.227729	0.78495	1.403579	1.137438	1.436745	3.851689	1.689677	1.632168	1.681727
3.0418	4.450357	2.261593	0	2.051728	1.02708	0.954941	1.447866	1.084765	0	1.786724	3.375559	4.285167	3.277109	5.711255	0	5.24655	1.903755	3.750214	4.889274	4.642111	3.886668	2.135623	2.107536	1.398132	2.168415	1.157998	2.392023	1.812466	2.741257	2.021093	5.73435	2.577037	2.541016	3.021127
1.999672	2.739611	1.051051	1.785711	0	1.011668	0.451681	1.154746	0.914981	4.888803	1.22191	2.025565	2.587983	2.329767	3.934011	0	3.48271	1.78305	1.926399	3.844171	2.967818	2.837691	1.475875	1.267018	0.672018	1.548655	1.083666	1.013572	1.406632	0.951224	1.163451	4.110712	1.645846	1.751947	2.175008
1.161963	1.714825	0.944107	1.414046	0.870433	0	0.693639	0.978967	0.991341	2.919923	1.064303	1.308198	1.90001	1.519679	1.907252	0	1.713706	0.813114	1.782049	2.019751	2.091533	1.736415	1.2727	0.868205	0.844536	0.765102	0.956605	0	1.00847	0	0.709598	2.69817	1.077351	1.019077	0.987191
1.635001	1.934696	0.988103	1.728867	0.780826	0.846298	0	1.185095	1.009939	2.943318	1.157509	1.101228	1.495617	1.562771	2.204526	0	2.440805	0	0.905382	1.440067	2.229396	2.365731	0.878526	1.12438	1.031309	0.871616	0.970217	0.757384	0.982996	0.285919	0.794253	2.178728	1.411033	1.337851	0.82564
1.128249	1.87763	0.746813	1.356714	0.640004	0.760929	0.470585	0	0.821799	0	0.749125	1.224062	1.678394	1.556177	2.046193	0	2.84254	0	1.403743	2.506946	1.939854	1.853014	1.116283	0.902478	0.691006	0.690856	0.676862	0	1.011767	0	0.866969	2.954725	1.059693	1.205662	1.420374
1.191402	1.48442	0.785518	1.319547	0.727811	0.69332	0.542653	0.844533	0	2.971846	0.914075	0.793881	1.524591	1.328034	2.443588	0	2.063793	1.090636	1.344854	2.122998	2.725371	1.750886	0.679042	0.867458	0.73628	0.886349	0.875963	0	0.989592	0	0.787338	2.413085	1.120934	1.136389	1.819926
0	0	7.01184	0	6.121295	5.141193	5.824415	6.040577	5.380325	0	6.571251	0	0	0	0	0	0	0	0	0	0	0	0	6.816964	6.202858	0	5.626142	0	5.99548	0	6.354803	0	0	6.745491	0
1.022191	2.146293	0.80909	1.202611	0.511431	0.671061	0.354953	0.893695	0.635251	4.108046	0	1.33462	2.236698	1.361001	2.808246	0	2.771434	0.772354	1.315255	3.259284	2.758065	2.068269	0.93232	0.799165	0.737108	0.775777	0.696219	0	1.092469	0.876224	0.993785	3.491927	0.979264	1.411165	1.974854
3.807672	4.466463	2.209005	3.417144	2.122079	1.588248	1.624579	2.100051	1.580586	0	2.136529	0	3.858024	3.655304	4.566151	0	4.943578	3.429789	4.202398	5.316668	4.577142	3.533469	2.799681	2.492237	1.487185	2.65818	1.800356	3.1533	2.206344	2.761235	1.863144	5.77278	2.923359	2.617658	2.769003
4.088456	4.972628	2.641458	3.658616	2.291255	1.598095	2.122771	2.361824	1.571255	0	2.207858	3.922757	0	4.279318	5.843545	0	6.762349	4.366242	4.369961	5.106087	5.979024	4.306096	2.762668	2.949539	1.991615	3.001392	1.541451	4.597112	2.567154	4.915518	1.765374	5.591041	3.438851	3.235701	3.853947
4.022826	5.221733	2.781726	3.375946	2.380166	1.439305	1.435441	1.742249	1.372633	0	2.202483	3.730489	4.822047	0	5.378566	0	6.126063	3.14423	4.622526	5.401673	5.259878	5.003738	3.068873	2.535003	1.756691	3.079702	1.812342	3.329772	1.700904	3.2548	1.866433	5.610575	3.201689	2.841395	4.113928
5.938158	7.014574	4.617292	5.393917	3.483761	3.199969	3.534092	3.897171	3.254747	0	4.190771	5.352025	5.789575	5.569185	0	0	0	5.787349	6.092577	0	0	5.710908	4.434897	4.168467	3.612007	4.793122	3.309825	6.368	4.0249	5.980895	2.575077	0	5.017672	4.676328	4.228931
